"","기업명","산업군","평점","모집내용","직군","지원자격","근무조건.근무지역","마감일.등록일"
"1","센드버드코리아","IT/웹/통신",4.4,"Software Engineer, Client iOS","앱개발iOSObjective-CSwift유지보수 외","3 ~ 10년
학력무관","정규직
서울 강남구","입사지원
상시채용
"
"2","유니티테크놀로지스코리아","IT/웹/통신",4.3,"[유니티 코리아] 각 부문 담당자 채용공고","데이터엔지니어SE(시스템엔지니어)APM영업관리영업지원 외","경력무관
학력무관","정규직
서울 강남구","홈페이지 지원
~ 05/31
"
"3","클루커스","IT/웹/통신",4.1,"[클루커스] 정규직 수시 채용 (서울/경력)","IT컨설팅서비스기획마케팅기술지원정보보안 외","경력 1년↑
학력무관","정규직
서울 강남구","입사지원
상시채용
"
"4","클루커스","IT/웹/통신",4.1,"[클루커스] Data Analytics Group 직원 채용","데이터분석가데이터엔지니어데이터시각화네트워크모델링 외","경력 2년↑
학력무관","정규직
서울 강남구","입사지원
상시채용
"
"5","클루커스","IT/웹/통신",4.1,"[클루커스] 제2캠퍼스 (부산) 직원 채용","기술지원데이터분석가데이터엔지니어보안컨설팅IT컨설팅 외","경력 1년↑
학력무관","정규직
서울 강남구","입사지원
상시채용
"
"6","기아","제조/화학",4,"각 부문별 신입/경력 채용","공인회계사전산회계회계사AICPAKICPA 외","신입 · 경력
대학교(4년)↑","정규직 · 계약직
서울 서초구","홈페이지 지원
상시채용
"
"7","캐플릭스","IT/웹/통신",3.9,"[주 4일제 근무] 캐플릭스(제주패스) 부문별 경력 / 신입 채용","백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","신입 · 경력
학력무관","정규직
제주 제주시","홈페이지 지원
~ 04/30
"
"8","에듀윌","교육업",3.9,"에듀윌 부문별 인재모집(DBA/국비교육/출판 등)","백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","신입 · 경력
학력무관","정규직 · 계약직
서울 구로구","입사지원
~ 04/30
"
"9","엠비아이솔루션","IT/웹/통신",3.9,"[해피톡] IT/B2B 솔루션 부분별 인재영입","백엔드/서버개발웹개발프론트엔드HTMLPHP 외","경력무관
학력무관","정규직
서울 마포구","입사지원
상시채용
"
"10","데브시스터즈","IT/웹/통신",3.8,"[데브시스터즈] BI/DW Engineer","백엔드/서버개발DBASE(시스템엔지니어)네트워크빅데이터 외","경력 3년↑
학력무관","정규직
서울 강남구","홈페이지 지원
채용시
"
"11","데브시스터즈","IT/웹/통신",3.8,"[데브시스터즈] Business Data Analyst (경력)","데이터분석가빅데이터DWOLAPHadoop 외","경력 3년↑
학력무관","정규직
서울 강남구","홈페이지 지원
채용시
"
"12","네오플","IT/웹/통신",3.7,"2022 네오플 공개채용","게임개발기술지원데이터분석가데이터엔지니어백엔드/서버개발 외","신입 · 경력
학력무관","정규직
제주 제주시","홈페이지 지원
~ 04/17
"
"13","한국쓰리엠","유통/무역/운송",3.7,"각 부문 신입/경력 모집 안내","DBAIT컨설팅SE(시스템엔지니어)데이터마이닝머신러닝 외","신입 · 경력
대학교(4년)↑","정규직
경기 화성시","홈페이지 지원
상시채용
"
"14","패스트파이브","서비스업",3.7,"[FASTFIVE] 파이브클라우드팀 각 부문 매니저","네트워크빌링솔루션클라우드IaaS 외","경력무관
학력무관","정규직
서울 강남구","홈페이지 지원
~ 04/30
"
"15","크몽","IT/웹/통신",3.7,"[크몽] 데이터 플랫폼 엔지니어","데이터분석가데이터엔지니어백엔드/서버개발웹개발딥러닝 외","2 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"16","크몽","IT/웹/통신",3.7,"[크몽] DevOps 엔지니어","백엔드/서버개발웹개발DBASE(시스템엔지니어)인프라 외","2 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"17","백패커","IT/웹/통신",3.6,"[아이디어스] 데이터 엔지니어 (Data Engineer) / 경력 2년 이상","백엔드/서버개발웹개발SE(시스템엔지니어)데이터마이닝데이터시각화 외","2 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
"
"18","트릿지","IT/웹/통신",3.6,"시니어 데이터 분석가 채용(Data Scientist)","빅데이터ETL데이터분석딥러닝머신러닝 외","경력 3년↑
박사","정규직
서울 서초구","홈페이지 지원
~ 05/01
"
"19","트릿지","IT/웹/통신",3.6,"페이먼트 솔루션 기획자 채용 (경력 3년 이상)","솔루션클라우드서비스기획앱기획웹기획 외","경력 3년↑
학력무관","정규직
서울 서초구","홈페이지 지원
~ 05/01
"
"20","트릿지","IT/웹/통신",3.6,"프로덕트 매니저 인턴 채용 (3개월 정규직 전환형)","PM(프로젝트매니저)","신입
학력무관","인턴직
서울 서초구","홈페이지 지원
~ 05/01
"
"21","트릿지","IT/웹/통신",3.6,"프로덕트 매니저 채용","PM(프로젝트매니저)","경력 1년↑
학력무관","정규직
서울 서초구","홈페이지 지원
~ 05/01
"
"22","트릿지","IT/웹/통신",3.6,"머신러닝 엔지니어 채용","데이터마이닝딥러닝머신러닝빅데이터텍스트마이닝 외","경력 1년↑
학력무관","정규직
서울 서초구","홈페이지 지원
~ 04/30
"
"23","트릿지","IT/웹/통신",3.6,"데이터 엔지니 채용 (신입 지원 가능)","데이터마이닝빅데이터텍스트마이닝ETLHadoop 외","경력무관
학력무관","정규직
서울 서초구","홈페이지 지원
~ 04/30
"
"24","트릿지","IT/웹/통신",3.6,"데브옵스 엔지니어 채용 (신입 지원 가능)","DevOps아키텍쳐AWSDockerKubernetes 외","경력무관
학력무관","정규직
서울 서초구","홈페이지 지원
~ 04/30
"
"25","트릿지","IT/웹/통신",3.6,"B2C커머스앱 프론트엔드 엔지니어 채용","프론트엔드ReactTypeScriptC++CSS 외","경력무관
학력무관","정규직
서울 서초구","홈페이지 지원
~ 04/30
"
"26","트릿지","IT/웹/통신",3.6,"시니어 프론트엔드 엔지니어 채용","프론트엔드ReactTypeScriptC++HTML 외","경력 2년↑
학력무관","정규직
서울 서초구","홈페이지 지원
~ 04/30
"
"27","트릿지","IT/웹/통신",3.6,"시니어 백엔드 엔지니어 채용","백엔드/서버개발알고리즘APINoSQLPython 외","경력 3년↑
학력무관","정규직
서울 서초구","홈페이지 지원
~ 04/30
"
"28","트릿지","IT/웹/통신",3.6,"데이터 크롤링 엔지니어 정규직 채용","빅데이터크롤링NoSQLPythonETL 외","경력무관
학력무관","정규직 · 인턴직
서울 서초구","홈페이지 지원
~ 04/30
"
"29","슈퍼브에이아이","IT/웹/통신",3.6,"DevOps Engineer (Seoul, KR)","백엔드/서버개발웹개발SE(시스템엔지니어)인프라클라우드 외","3 ~ 12년
학력무관","정규직
서울전체","입사지원
상시채용
"
"30","바이오일레븐","의료/제약/복지",3.6,"SE 개발자","백엔드/서버개발웹개발SE(시스템엔지니어)인프라DevOps 외","3 ~ 7년
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
"
"31","바이오일레븐","의료/제약/복지",3.6,"[바이오일레븐] 각 부문 (재무/마케팅/MD/영업/물류/개발/연구소) 채용","데이터분석가백엔드/서버개발앱개발프론트엔드SE(시스템엔지니어) 외","경력 3년↑
대학교(4년)↑","정규직 · 계약직
서울 강남구","입사지원
~ 04/30
"
"32","버즈니","IT/웹/통신",3.6,"[1400만 국민앱] 프론트 엔드 엔지니어 채용 (시니어)","웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외","7 ~ 20년
학력무관","정규직
서울전체","입사지원
상시채용
"
"33","버즈니","IT/웹/통신",3.6,"[전문연구요원/신입가능] AI/백엔드 엔지니어 - 병역특례","데이터분석가백엔드/서버개발웹개발SE(시스템엔지니어)딥러닝 외","신입 · 경력
석사↑","정규직
서울전체","입사지원
상시채용
"
"34","버즈니","IT/웹/통신",3.6,"[업계1위/신입초봉5천] 프론트 엔드 엔지니어 (React, Typescript) / 전문연구요원 가능","웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외","4 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"35","버즈니","IT/웹/통신",3.6,"[업계1위/초봉5천] 서비스 백엔드 엔지니어 (Python, Docker)","백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)검색엔진 외","1 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"36","버즈니","IT/웹/통신",3.6,"[업계1위/신입초봉5천] AI/백엔드 엔지니어(마케팅파트) / 전문연구요원 가능","데이터분석가데이터엔지니어백엔드/서버개발웹개발SE(시스템엔지니어) 외","1 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"37","버즈니","IT/웹/통신",3.6,"[1400만 국민앱] 홈쇼핑모아 QA 경력직 ( 주니어)","앱개발웹개발QA/테스터SE(시스템엔지니어)Android 외","1 ~ 3년
학력무관","정규직
서울전체","입사지원
상시채용
"
"38","버즈니","IT/웹/통신",3.6,"[업계1위/초봉5천] IOS 엔지니어 (Swift, RxSwift)","앱개발웹개발프론트엔드GitiOS 외","3 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
"
"39","버즈니","IT/웹/통신",3.6,"[업계1위/초봉5천] 커머스 백엔드 엔지니어 (Python, Docker)","백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)검색엔진 외","신입 · 경력
학력무관","정규직
서울전체","입사지원
상시채용
"
"40","버즈니","IT/웹/통신",3.6,"[업계1위/신입 초봉5천] AI 백엔드 엔지니어 (머신러닝)","데이터분석가백엔드/서버개발웹개발SE(시스템엔지니어)딥러닝 외","1 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"41","버즈니","IT/웹/통신",3.6,"[업계1위/초봉5천] 신사업 커머스 프론트엔드 엔지니어 (3년차 이상)","웹개발프론트엔드ECMAScriptJavascriptReact 외","3 ~ 11년
학력무관","정규직
서울전체","입사지원
상시채용
"
"42","버즈니","IT/웹/통신",3.6,"[전문연구요원/신입가능] 프론트엔드 엔지니어 - 병역특례","웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외","신입 · 경력
석사↑","정규직
서울전체","입사지원
상시채용
"
"43","버즈니","IT/웹/통신",3.6,"[업계1위/초봉5천] 신사업 백엔드 엔지니어 (Python, Docker) -3년 이상","백엔드/서버개발웹개발SE(시스템엔지니어)검색엔진딥러닝 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"44","버즈니","IT/웹/통신",3.6,"[전문연구요원/신입가능] 백엔드 엔지니어 - 병역특례","백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)검색엔진 외","신입 · 경력
석사↑","정규직
서울전체","입사지원
상시채용
"
"45","버즈니","IT/웹/통신",3.6,"[업계1위/초봉5천] IOS 엔지니어 (Swift, RxSwift)","게임개발기술지원데이터분석가데이터엔지니어백엔드/서버개발 외","경력 3년↑
학력무관","정규직
서울 관악구","입사지원
상시채용
"
"46","버즈니","IT/웹/통신",3.6,"[업계1위/초봉5천] 1400만 서비스 백엔드 엔지니어 (Python)","백엔드/서버개발앱개발웹개발프론트엔드DBA 외","1 ~ 10년
학력무관","정규직
서울 관악구","입사지원
상시채용
"
"47","버즈니","IT/웹/통신",3.6,"[업계1위/초봉5천] 신사업 커머스 백엔드 엔지니어 (Python/2년이상)","백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)검색엔진 외","2 ~ 12년
학력무관","정규직
서울전체","입사지원
상시채용
"
"48","버즈니","IT/웹/통신",3.6,"[홈쇼핑모아] 마케팅/그래픽 디자이너 (인턴직)","그래픽디자인일러스트레이터","경력무관
학력무관","인턴직
서울 관악구","입사지원
상시채용
"
"49","버즈니","IT/웹/통신",3.6,"[홈쇼핑모아] 마케팅/그래픽 디자이너","그래픽디자인일러스트레이터","경력 3년↑
학력무관","정규직
서울 관악구","입사지원
상시채용
"
"50","버즈니","IT/웹/통신",3.6,"[업계1위/초봉5천] 데이터 엔지니어 (Python)","데이터분석가데이터엔지니어백엔드/서버개발웹개발프론트엔드 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"51","버즈니","IT/웹/통신",3.6,"[업계1위/신입 초봉5천] A추천 시스템 리서치 엔지니어 (전문연구요원 가능)","데이터분석가데이터엔지니어백엔드/서버개발웹개발데이터마이닝 외","1 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"52","버즈니","IT/웹/통신",3.6,"[전문연구요원/신입가능] AI/백엔드(마케팅 분야) - 병역특례","데이터분석가데이터엔지니어백엔드/서버개발웹개발SE(시스템엔지니어) 외","신입 · 경력
석사↑","정규직
서울전체","입사지원
상시채용
"
"53","버즈니","IT/웹/통신",3.6,"[전문연구요원/신입가능] 데이터 엔지니어 - 병역특례","데이터분석가데이터엔지니어백엔드/서버개발웹개발프론트엔드 외","신입 · 경력
석사↑","정규직
서울전체","입사지원
상시채용
"
"54","버즈니","IT/웹/통신",3.6,"[전문연구요원/신입가능] AI/Recommendation System 리서치 엔지니어 - 병역특례","데이터분석가데이터엔지니어백엔드/서버개발웹개발데이터마이닝 외","신입 · 경력
석사↑","정규직
서울전체","입사지원
상시채용
"
"55","매스프레소","IT/웹/통신",3.5,"Data Analyst (데이터 분석가)","데이터분석가백엔드/서버개발앱개발웹개발SE(시스템엔지니어) 외","1 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
"
"56","매스프레소","IT/웹/통신",3.5,"DevOps Engineer (데브옵스 엔지니어)","백엔드/서버개발웹개발DBASE(시스템엔지니어)인프라 외","8 ~ 20년
학력무관","정규직
서울전체","입사지원
상시채용
"
"57","매스프레소","IT/웹/통신",3.5,"Data Engineer (데이터 엔지니어)","앱개발SE(시스템엔지니어)데이터마이닝데이터시각화빅데이터 외","1 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
"
"58","매스프레소","IT/웹/통신",3.5,"[제품 개발] Backend Developer (백엔드 개발자)","백엔드/서버개발웹개발SE(시스템엔지니어)블록체인인프라 외","3 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
"
"59","오픈메이트","IT/웹/통신",3.5,"[오픈메이트] 플랫폼사업본부 신입/경력 인재모집","데이터분석가백엔드/서버개발웹개발정보보안퍼블리셔 외","경력무관
학력무관","정규직
서울 서대문구","입사지원
~ 04/15
"
"60","비바리퍼블리카","IT/웹/통신",3.5,"[토스페이먼츠] Risk Manager","SE(시스템엔지니어)영업관리가맹점관리통계/분석리서치 외","경력무관
학력무관","정규직
서울 강남구","홈페이지 지원
상시채용
"
"61","비바리퍼블리카","IT/웹/통신",3.5,"[토스증권] Security Engineer (엔드포인트 보안)","보안컨설팅정보보안CISOAPIDLP 외","2 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
"
"62","비바리퍼블리카","IT/웹/통신",3.5,"[토스뱅크] Anti-Fraud Manager","기술지원데이터분석가데이터엔지니어MSSQLMySQL 외","경력무관
학력무관","서울 강남구","홈페이지 지원
상시채용
"
"63","비바리퍼블리카","IT/웹/통신",3.5,"[토스]Hardware Engineer (POS)","보안컨설팅앱개발정보보안H/WAndroid 외","경력무관
학력무관","정규직
서울 강남구","홈페이지 지원
상시채용
"
"64","비바리퍼블리카","IT/웹/통신",3.5,"[토스] Finance Analyst (Data)","데이터분석가데이터엔지니어데이터라벨링데이터마이닝데이터시각화 외","경력무관
학력무관","정규직
서울 강남구","홈페이지 지원
상시채용
"
"65","윙잇","IT/웹/통신",3.5,"[윙잇] QA 엔지니어","QA/테스터APIC++R","2 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"66","윙잇","IT/웹/통신",3.5,"[윙잇] QA 엔지니어(2년 이상)","게임개발백엔드/서버개발앱개발웹개발QA/테스터 외","경력 2년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
채용시
"
"67","윙잇","IT/웹/통신",3.5,"[윙잇] 커머스 React.js 웹 프론트엔드 개발자(3년 이상)","백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)AWS 외","3 ~ 9년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"68","동구밭","제조/화학",3.5,"(주)동구밭 각 부문별 상반기 공개채용[경력/신입]","데이터분석가반응형웹CSSCSS3HTML 외","신입 · 경력
학력무관","계약직
서울 성동구","입사지원
~ 04/15
"
"69","대한상공회의소","기관/협회",3.5,"[무료교육]대한상공회의소 디지털 기술 교육생 모집[취업연계]","보안컨설팅정보보안빅데이터IoTAI(인공지능) 외","신입 · 경력
학력무관","교육생
서울전체","접수방법 확인
~ 03/31
"
"70","해줌","IT/웹/통신",3.5,"백엔드 개발자 채용","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","신입 · 경력
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
"
"71","디딤365","IT/웹/통신",3.5,"클라우드 CS / 운영관리 / 시스템 관제 영입","백엔드/서버개발SE(시스템엔지니어)머신러닝빅데이터클라우드 외","신입 · 경력
대학(2,3년)↑","정규직
서울 금천구","채용 홈페이지
~ 05/01
"
"72","디딤365","IT/웹/통신",3.5,"시스템 엔지니어 / DevOps / 인프라 관리 / 서비스 보안 영입","백엔드/서버개발SE(시스템엔지니어)머신러닝빅데이터클라우드 외","신입 · 경력
대학(2,3년)↑","정규직
서울 금천구","채용 홈페이지
~ 05/01
"
"73","디딤365","IT/웹/통신",3.5,"클라우드 SA / DevOps 설계/구축 신입/경력사원 영입","기술지원백엔드/서버개발SE(시스템엔지니어)머신러닝빅데이터 외","신입 · 경력
대학(2,3년)↑","정규직
서울 금천구","채용 홈페이지
~ 05/01
"
"74","푸드테크","IT/웹/통신",3.5,"22년 상반기 푸드테크 각 부문 신입/경력직 모집","데이터분석가데이터엔지니어SE(시스템엔지니어)데이터마이닝데이터시각화 외","경력
학력무관","정규직
서울 강남구","입사지원
~ 04/15
"
"75","푸드테크","IT/웹/통신",3.5,"22년 상반기 푸드테크 IT부문 채용","기술지원데이터분석가백엔드/서버개발보안컨설팅앱개발 외","신입 · 경력
학력무관","정규직
서울 강남구","입사지원
~ 04/30
"
"76","현대모비스","제조/화학",3.5,"22년 상반기 각 부문별 신입/경력 채용","데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","신입 · 경력
대학교(4년)↑","정규직
경기 의왕시","홈페이지 지원
~ 04/15
"
"77","다우데이타","IT/웹/통신",3.4,"[다우키움그룹] 다우데이타 Microsoft365 엔지니어(SE) 채용","SE(시스템엔지니어)솔루션R","경력 3년↑
대학교(4년)↑","정규직
서울 마포구","입사지원
채용시
"
"78","나이스평가정보","IT/웹/통신",3.4,"[NICE평가정보] 상반기 신입/경력 직원 수시채용","기술지원데이터분석가데이터엔지니어백엔드/서버개발웹개발 외","신입 · 경력
대학교(4년)↑","정규직
서울 영등포구","홈페이지 지원
~ 04/18
"
"79","로보티즈","IT/웹/통신",3.4,"[실외배송로봇 연구개발] - Computer Vision Engineer 외","머신러닝네트워크임베디드클라우드API 외","신입 · 경력
대학교(4년)↑","정규직 · 계약직
서울 강서구","입사지원
~ 05/31
"
"80","로보티즈","IT/웹/통신",3.4,"[실외배송로봇 연구개발] - Sensor Integration Engineer","머신러닝APIC++R","신입 · 경력
대학교(4년)↑","정규직 · 계약직
서울 강서구","입사지원
~ 05/31
"
"81","한국공항공사","유통/무역/운송",3.4,"한국공항공사 2022년 상반기 신입사원 채용공고","네트워크정보통신GIS공인회계사전산회계 외","신입
학력무관","정규직 · 계약직
전국","홈페이지 지원
~ 04/15
"
"82","설로인","서비스업",3.4,"백엔드 시니어 개발자(사내 벤처팀)","백엔드/서버개발앱개발웹개발프론트엔드SE(시스템엔지니어) 외","3 ~ 7년
학력무관","정규직
서울전체","입사지원
~ 04/30
"
"83","다우기술","IT/웹/통신",3.4,"IDC 보안 엔지니어 경력사원 채용","보안컨설팅정보보안모의해킹방화벽악성코드 외","5 ~ 12년
대학(2,3년)↑","정규직
서울 마포구","홈페이지 지원
~ 04/20
"
"84","민앤지","IT/웹/통신",3.4,"[민앤지] 마이데이터 플랫폼 개발 경력직 채용","백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)네트워크 외","7 ~ 12년
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
"
"85","코리아크레딧뷰로","서비스업",3.4,"코리아크레딧뷰로(주) 데이터운영 및 분석업무 지원 채용","데이터분석가데이터엔지니어빅데이터사무직사무보조 외","경력무관
대학(2,3년)↑","계약직
서울 영등포구","입사지원
~ 04/18
"
"86","그린랩스","IT/웹/통신",3.4,"[아키텍처팀] QA 엔지니어","QA/테스터인프라클라우드트러블슈팅API 외","2 ~ 5년
학력무관","정규직
서울전체","입사지원
상시채용
"
"87","그린랩스","IT/웹/통신",3.4,"[솔루션개발팀] 백엔드 개발 (3년 이상)","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"88","광주은행","은행/금융업",3.4,"2022년 광주은행 전문경력직 채용","데이터분석가데이터엔지니어백엔드/서버개발웹개발퍼블리셔 외","경력
학력무관","정규직 · 계약직
광주 동구","입사지원
~ 04/13
"
"89","에어리퀴드코리아","제조/화학",3.4,"에어리퀴드코리아㈜/에어리퀴드솔루션즈코리아 각 부문 정규직 모집","영업관리영업지원장비영업A/S기사생산관리 외","경력
대학교(4년)↑","정규직
충남 천안시","입사지원
~ 04/19
"
"90","헬로서치","서비스업",3.3,"유명게임사 DevOps 담당자 모집-중국어 가능자-","IT컨설팅SE(시스템엔지니어)네트워크PythonSQL 외","경력 3년↑
학력무관","정규직
서울 강남구","입사지원
~ 05/04
"
"91","헬로서치","서비스업",3.3,"IT리더급 (데이터분석, 알고리즘 연구, 머신러닝, 딥러닝)","데이터분석가데이터엔지니어데이터시각화딥러닝머신러닝 외","경력 12년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/30
"
"92","슈나이더일렉트릭코리아","유통/무역/운송",3.3,"[프랑스계 전기회사/인턴] Engineering Intern","전기제어LED자동차","경력무관
대학교(4년)↑","인턴직
서울 강서구","입사지원
~ 04/24
"
"93","슈나이더일렉트릭코리아","유통/무역/운송",3.3,"[프랑스계 전기회사/경력직] 프로젝트 엔지니어 모집","전기제어HMIPLC","경력 7년↑
대학교(4년)↑","정규직
서울 강서구","입사지원
~ 04/20
"
"94","뤼이드","IT/웹/통신",3.3,"Cloud Security Engineer","백엔드/서버개발보안컨설팅웹개발정보보안CISO 외","5 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"95","뤼이드","IT/웹/통신",3.3,"ML Engineer","데이터분석가백엔드/서버개발웹개발프론트엔드DBA 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
"
"96","뤼이드","IT/웹/통신",3.3,"DevOps Engineer","백엔드/서버개발웹개발SE(시스템엔지니어)검색엔진인프라 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
